Rank,Team,GM,W-L,FGM,FGA,FG%
54,Lipscomb (ASUN),34,25-9,939,"1,984",47.3
55,UNC Asheville (Big South),32,21-11,942,"1,993",47.3
56,UCLA (Big Ten),31,22-9,842,"1,785",47.2
57,South Carolina St. (MEAC),30,18-12,824,"1,747",47.2
58,South Dakota St. (Summit League),32,20-12,913,"1,937",47.1
59,Oklahoma (SEC),31,19-12,813,"1,725",47.1
60,FGCU (ASUN),32,18-14,883,"1,874",47.1
61,Arizona (Big 12),31,20-11,890,"1,891",47.1
62,Akron (MAC),31,25-6,946,"2,012",47
63,Clemson (ACC),31,26-5,864,"1,839",47
64,Utah Valley (WAC),30,23-7,814,"1,733",47
65,Ohio (MAC),31,16-15,867,"1,846",47
66,Purdue Fort Wayne (Horizon),32,19-13,918,"1,955",47
67,Santa Clara (WCC),31,20-12,894,"1,906",46.9
68,Rhode Island (Atlantic 10),30,18-12,807,"1,722",46.9
69,Florida (SEC),31,27-4,932,"1,989",46.9
70,CSUN (Big West),31,22-9,899,"1,919",46.8
71,Presbyterian (Big South),32,14-18,868,"1,854",46.8
72,Colgate (Patriot),33,14-19,888,"1,897",46.8
73,Maine (America East),32,19-13,849,"1,815",46.8
74,Milwaukee (Horizon),32,21-11,907,"1,939",46.8
75,Ohio St. (Big Ten),31,17-14,853,"1,825",46.7
76,Louisiana Tech (CUSA),31,20-11,800,"1,712",46.7
77,Bellarmine (ASUN),31,5-26,814,"1,743",46.7
78,Arkansas (SEC),31,19-12,845,"1,810",46.7
79,UIW (Southland),32,17-15,864,"1,851",46.7
80,Howard (MEAC),31,12-19,826,"1,771",46.6
81,Bucknell (Patriot),33,18-15,862,"1,850",46.6
82,Villanova (Big East),31,18-13,807,"1,732",46.6
83,Omaha (Summit League),34,22-12,923,"1,981",46.6
84,UC San Diego (Big West),32,28-4,881,"1,891",46.6
85,Columbia (Ivy League),27,12-15,771,"1,655",46.6
86,Saint Francis (NEC),32,15-17,859,"1,844",46.6
87,Indiana St. (MVC),32,14-18,877,"1,884",46.5
88,Boise St. (Mountain West),31,22-9,801,"1,721",46.5
89,Fla. Atlantic (The American),31,17-14,878,"1,888",46.5
90,Belmont (MVC),33,22-11,945,"2,033",46.5
91,Xavier (Big East),31,21-10,818,"1,761",46.5
92,Toledo (MAC),31,17-14,880,"1,895",46.4
93,Gardner-Webb (Big South),31,11-20,824,"1,775",46.4
