Rank,Team,GM,W-L,ST,STPG
87,North Texas (The American),30,23-7,229,7.6
88,Longwood (Big South),32,18-14,244,7.6
89,Central Conn. St. (NEC),31,25-6,236,7.6
89,Florida St. (ACC),31,17-14,236,7.6
89,Fresno St. (Mountain West),31,6-25,236,7.6
89,Texas A&M (SEC),31,22-9,236,7.6
93,Jackson St. (SWAC),31,14-17,235,7.6
93,UTRGV (Southland),31,16-15,235,7.6
95,Northeastern (CAA),32,17-15,242,7.6
95,USC Upstate (Big South),32,6-26,242,7.6
97,Akron (MAC),31,25-6,234,7.5
97,Arkansas (SEC),31,19-12,234,7.5
97,Kansas St. (Big 12),31,15-16,234,7.5
97,Kent St. (MAC),31,21-10,234,7.5
97,Memphis (The American),31,26-5,234,7.5
97,West Virginia (Big 12),31,19-12,234,7.5
103,South Dakota (Summit League),33,19-14,249,7.5
104,Eastern Wash. (Big Sky),32,10-22,241,7.5
105,St. Bonaventure (Atlantic 10),31,21-10,233,7.5
106,Hampton (CAA),33,17-16,248,7.5
107,UNC Asheville (Big South),32,21-11,240,7.5
108,Clemson (ACC),31,26-5,231,7.5
108,Lamar University (Southland),31,19-12,231,7.5
110,Princeton (Ivy League),29,19-10,216,7.4
111,Arkansas St. (Sun Belt),33,24-9,245,7.4
111,San Diego (WCC),33,6-27,245,7.4
113,Gonzaga (WCC),31,23-8,230,7.4
113,TCU (Big 12),31,16-15,230,7.4
115,Kansas City (Summit League),33,13-20,244,7.4
116,Ohio (MAC),31,16-15,229,7.4
117,Missouri St. (MVC),32,9-23,236,7.4
118,Harvard (Ivy League),27,12-15,199,7.4
119,Louisiana (Sun Belt),33,12-21,243,7.4
120,Central Mich. (MAC),31,14-17,228,7.4
121,Chicago St. (NEC),32,4-28,235,7.3
121,UMBC (America East),32,13-19,235,7.3
123,Central Ark. (ASUN),33,9-24,242,7.3
124,Tulane (The American),31,18-13,227,7.3
125,New Orleans (Southland),31,4-27,226,7.3
125,Sacred Heart (MAAC),31,14-17,226,7.3
127,Bowling Green (MAC),31,14-17,225,7.3
128,William & Mary (CAA),32,17-15,232,7.3
129,La Salle (Atlantic 10),31,13-18,224,7.2
129,Oregon (Big Ten),31,23-8,224,7.2
129,Pittsburgh (ACC),31,17-14,224,7.2
129,Wake Forest (ACC),31,21-10,224,7.2
133,Dayton (Atlantic 10),31,22-9,223,7.2
133,George Mason (Atlantic 10),31,24-7,223,7.2
133,Loyola Maryland (Patriot),31,12-19,223,7.2
136,Tennessee St. (OVC),33,17-16,237,7.2
137,BYU (Big 12),31,23-8,221,7.1
137,Duquesne (Atlantic 10),31,13-18,221,7.1
137,Norfolk St. (MEAC),31,21-10,221,7.1
140,ULM (Sun Belt),32,7-25,228,7.1
141,Ark.-Pine Bluff (SWAC),31,6-25,220,7.1
141,Nebraska (Big Ten),31,17-14,220,7.1
141,Northwestern (Big Ten),31,16-15,220,7.1
144,Texas St. (Sun Belt),32,16-16,227,7.1
145,Wagner (NEC),30,14-16,212,7.1
146,LSU (SEC),31,14-17,219,7.1
147,Morgan St. (MEAC),30,13-17,211,7
148,Auburn (SEC),31,27-4,218,7
149,CSU Bakersfield (Big West),32,14-18,223,7
150,Rutgers (Big Ten),31,15-16,216,7
150,Siena (MAAC),31,14-17,216,7
