Rank,Team,GM,W-L,FT,FTA,FT%
234,Georgetown (Big East),31,17-14,336,476,70.6
235,North Ala. (ASUN),34,24-10,472,669,70.6
235,Utah St. (Mountain West),31,25-6,472,669,70.6
237,UCLA (Big Ten),31,22-9,412,584,70.5
238,Iowa (Big Ten),31,16-15,364,516,70.5
239,Drake (MVC),33,30-3,498,706,70.5
240,Fla. Atlantic (The American),31,17-14,426,604,70.5
241,NIU (MAC),31,6-25,392,556,70.5
242,Chicago St. (NEC),32,4-28,351,498,70.5
243,Ball St. (MAC),31,14-17,553,785,70.4
244,Little Rock (OVC),33,19-14,386,548,70.4
245,South Carolina St. (MEAC),30,18-12,548,778,70.4
246,South Alabama (Sun Belt),32,21-11,433,615,70.4
247,McNeese (Southland),31,25-6,437,621,70.4
248,Weber St. (Big Sky),34,12-22,459,653,70.3
249,Coastal Carolina (Sun Belt),32,10-22,417,594,70.2
250,Marist (MAAC),29,20-9,259,369,70.2
251,Mississippi St. (SEC),31,20-11,439,626,70.1
252,Oakland (Horizon),33,16-17,411,587,70
253,Buffalo (MAC),31,9-22,431,616,70
254,George Washington (Atlantic 10),31,20-11,489,699,70
255,UT Martin (OVC),33,14-19,477,682,69.9
256,Drexel (CAA),33,18-15,328,469,69.9
257,Washington St. (WCC),33,19-14,433,620,69.8
258,Saint Mary's (CA) (WCC),31,27-4,400,573,69.8
259,Tennessee Tech (OVC),32,15-17,379,543,69.8
260,UNI (MVC),32,20-12,427,612,69.8
261,Nevada (Mountain West),31,16-15,438,628,69.7
262,Penn (Ivy League),27,8-19,318,456,69.7
263,Evansville (MVC),32,11-21,373,535,69.7
264,Loyola Maryland (Patriot),31,12-19,366,525,69.7
265,Alabama St. (SWAC),31,16-15,410,589,69.6
266,Texas A&M (SEC),31,22-9,529,760,69.6
267,Rhode Island (Atlantic 10),30,18-12,504,725,69.5
268,Prairie View (SWAC),31,5-26,431,620,69.5
269,Utah Tech (WAC),31,6-25,414,596,69.5
270,BYU (Big 12),31,23-8,391,563,69.4
271,Presbyterian (Big South),32,14-18,409,589,69.4
272,Fresno St. (Mountain West),31,6-25,466,672,69.3
273,Bethune-Cookman (SWAC),31,16-15,447,645,69.3
274,Binghamton (America East),32,15-17,404,583,69.3
275,Marshall (Sun Belt),33,20-13,473,683,69.3
276,UMBC (America East),32,13-19,414,598,69.2
277,Gardner-Webb (Big South),31,11-20,445,643,69.2
278,Southern Miss. (Sun Belt),33,11-22,451,652,69.2
279,Western Ill. (OVC),31,12-19,334,483,69.2
280,New Mexico (Mountain West),31,25-6,510,738,69.1
281,Lamar University (Southland),31,19-12,359,520,69
282,FGCU (ASUN),32,18-14,298,432,69
283,Saint Louis (Atlantic 10),31,18-13,357,518,68.9
284,N.C. Central (MEAC),31,13-18,488,709,68.8
285,St. John's (NY) (Big East),31,27-4,435,632,68.8
286,Houston Christian (Southland),32,12-20,376,547,68.7
287,Northeastern (CAA),32,17-15,356,518,68.7
288,N.C. A&T (CAA),32,7-25,416,606,68.6
289,Georgia St. (Sun Belt),33,14-19,450,656,68.6
290,Providence (Big East),31,12-19,369,538,68.6
291,Kansas St. (Big 12),31,15-16,351,512,68.6
292,Army West Point (Patriot),31,16-15,331,483,68.5
293,North Florida (ASUN),32,15-17,354,517,68.5
294,Lafayette (Patriot),33,13-20,386,564,68.4
295,Milwaukee (Horizon),32,21-11,507,741,68.4
296,Towson (CAA),32,22-10,369,540,68.3
297,Lehigh (Patriot),30,11-19,358,524,68.3
298,Rice (The American),31,13-18,512,750,68.3
299,Washington (Big Ten),31,13-18,425,623,68.2
300,Coppin St. (MEAC),29,6-23,399,585,68.2
301,Furman (SoCon),33,25-8,448,657,68.2
302,Nicholls (Southland),31,19-12,422,619,68.2
303,Georgia Tech (ACC),31,16-15,400,587,68.1
304,Utah Valley (WAC),30,23-7,479,703,68.1
305,Tennessee St. (OVC),33,17-16,540,793,68.1
306,Iona (MAAC),31,15-16,360,529,68.1
307,Jacksonville (ASUN),32,19-13,379,557,68
308,New Mexico St. (CUSA),31,17-14,412,606,68
309,UIW (Southland),32,17-15,352,518,68
310,Eastern Ill. (OVC),31,12-19,412,608,67.8
311,Middle Tenn. (CUSA),31,21-10,414,612,67.6
312,SIUE (OVC),33,22-11,431,638,67.6
313,Southern Ill. (MVC),33,14-19,433,641,67.6
314,USC Upstate (Big South),32,6-26,409,606,67.5
315,Morehead St. (OVC),32,15-17,444,658,67.5
316,Sacramento St. (Big Sky),32,7-25,365,541,67.5
317,Western Mich. (MAC),31,12-19,407,604,67.4
318,Massachusetts (Atlantic 10),31,12-19,454,678,67
319,UMES (MEAC),30,6-24,395,590,66.9
320,Northern Ky. (Horizon),33,17-16,409,611,66.9
321,New Orleans (Southland),31,4-27,417,623,66.9
322,UT Arlington (WAC),30,13-17,423,633,66.8
323,Winthrop (Big South),34,23-11,648,970,66.8
324,San Diego St. (Mountain West),29,21-8,352,527,66.8
325,Seton Hall (Big East),31,7-24,382,573,66.7
326,Loyola Chicago (Atlantic 10),31,21-10,384,578,66.4
327,Bucknell (Patriot),33,18-15,451,679,66.4
328,Boston U. (Patriot),32,16-16,362,546,66.3
329,Liberty (CUSA),31,25-6,345,521,66.2
330,Alabama A&M (SWAC),31,10-21,480,725,66.2
331,Charleston So. (Big South),32,10-22,536,810,66.2
332,Southern U. (SWAC),31,20-11,467,706,66.1
333,ETSU (SoCon),32,19-13,400,605,66.1
334,Northern Ariz. (Big Sky),33,18-15,395,598,66.1
335,Cincinnati (Big 12),31,17-14,286,433,66.1
336,Mississippi Val. (SWAC),31,3-28,318,482,66
337,New Hampshire (America East),32,8-24,331,502,65.9
338,Ga. Southern (Sun Belt),33,17-16,362,550,65.8
339,Minnesota (Big Ten),31,15-16,360,547,65.8
340,Missouri St. (MVC),32,9-23,395,602,65.6
341,Tulsa (The American),31,12-19,389,594,65.5
342,Mercer (SoCon),33,14-19,400,611,65.5
343,Wofford (SoCon),33,18-15,382,584,65.4
344,Wyoming (Mountain West),31,12-19,339,519,65.3
345,Duquesne (Atlantic 10),31,13-18,347,532,65.2
346,TCU (Big 12),31,16-15,397,609,65.2
347,App State (Sun Belt),31,17-14,386,593,65.1
348,Utah (Big 12),31,16-15,434,678,64
349,A&M-Corpus Christi (Southland),33,20-13,430,679,63.3
350,SFA (Southland),31,14-17,362,572,63.3
351,Portland St. (Big Sky),31,19-12,386,611,63.2
352,Brown (Ivy League),27,14-13,283,448,63.2
353,Air Force (Mountain West),31,4-27,355,563,63.1
354,The Citadel (SoCon),30,5-25,359,582,61.7
355,Ark.-Pine Bluff (SWAC),31,6-25,349,589,59.3
